obj,type,bbox
"Resnic,Opornica",city,20.828530482799607 44.04283412827576 20.954330958696545 44.12627250468475
Resnic,city,20.890127310203695 44.103420443101044 20.951539625376938 44.13638003111589
serbia,country,14.29368212620912 34.6381741548327 42.19753730351246 48.57334147892965
"serbia,turkey",country,14.533444941126703 32.43752552067821 46.39631982796453 48.66047888075295
serbia,country,16.65426881144313 41.232741282364515 25.591189909754917 48.07800474300802
null,country,23.854118721719544 35.67771591210412 33.953558381853554 42.93407015308563
