name;coordinates
Турция;POLYGON ((26.125275601362887 40.735439333768625, 26.45609469395609 40.155578443095266, 26.341884518920864 39.536782937004745, 27.145232393024685 39.615296793997686, 27.043809492591834 38.98539640449067, 27.414321250678825 37.87877517117758, 28.478837059126022 36.88387082311769, 29.096996929615614 36.57776835571134, 29.50437483117389 35.9903988161807, 30.60600588453042 36.301876476077396, 31.05690993108317 36.76375973505698, 31.90518112332029 36.31568313442496, 33.18374842948384 36.09823236665284, 33.995299491667026 36.38641418072095, 34.85353331138401 36.808739219803726, 35.45002530554234 36.57776835571134, 35.84056326433986 37.00610992429753, 36.2025452079244 36.6789920889036, 35.87883902225502 35.89075240178988, 36.141205836753784 35.837116597007494, 36.60925505347004 36.255097525383874, 37.60812042204179 36.73937090197475, 39.77444986729219 36.69283525319214, 40.76751392097603 37.14528922001317, 44.07103151392482 37.133110042763306, 44.81553086285305 37.137929924999455, 44.163396252686425 39.0157756896962, 43.73902020121636 40.094905829015744, 43.576243324662045 41.10303695567961, 41.57181893886428 41.50761740864431, 35.19983623616494 42.01475697593051, 27.94255725018766 41.98972320066039, 26.58477307473683 41.9273987820641, 26.54133149618727 41.47741512501682, 26.125275601362887 40.735439333768625))
Сербия;"POLYGON ((19.298488064150035 43.510902041818866, 19.528309386031935 43.24686866222709, 20.179459092915266 42.82572783537185, 20.537704624964306 42.92798037052424, 20.722312816396197 43.23538546871163, 20.96231719959374 43.16412589773637, 21.216956173800128 42.932966288713885, 21.531121550044276 42.77649332720836, 21.814260017332856 42.580728659168244, 21.683410135161324 42.310001939582065, 22.197874511317707 42.297161577556665, 22.477500928879437 42.378039489285214, 22.518540512723206 42.813769572000865, 22.906108711322617 43.105326590752185, 22.52904702278343 43.74599601852668, 22.579323081814806 44.21757359244833, 22.583877946780007 44.51364783819665, 22.437589491093036 44.72001909347938, 21.967261676782158 44.53065847966178, 21.44154593362876 44.89361220599176, 21.085660652181218 45.3039346968161, 20.573595061257606 45.91485827756313, 19.829694179456 46.21685948193121, 18.958524703013694 45.89116125528713, 18.909913982988797 45.52108508087963, 19.395297840687505 45.21347031846662, 19.077058783552417 45.0079910316052, 19.375186129822026 44.881407671214475, 19.154417065666536 44.39880399145193, 19.602588136381485 44.07006277727851, 19.555808567019 43.737830677447704, 19.298488064150035 43.510902041818866))"
